transaction_id,name,email,amount,transaction_date,client_location
T-1-875.0084511182148_9.35,Gregory Baker,jfloyd@lambert.net,$116.10,23/09/2020 15:06,"69.94247924603562, -118.47631952600284"
T-2-704.6249004628272_6.04,Tyler Jenkins,janetharrell@henry.com,$234.03,03/04/2021 13:23,"25.698558436603648, -123.50514919330007"
T-3-538.3181601276816_3.38,John Baker,rhodestimothy@richmond-mcintosh.com,$722.62,29/09/2022 21:37,"-47.6739356020931, 67.69961725457895"
T-4-742.124036920792_4.62,Robert Marquez,margaret01@gmail.com,$122.37,20/07/2022 19:14,"53.68844138750379, 77.35967919694446"
T-5-674.0944450688257_5.20,Olivia Rodriguez,williamsontracy@green.net,$696.67,15/05/2020 01:52,"55.142468991835955, -115.23921373820322"
T-6-603.2777349442922_1.32,Steven Smith,sarah87@gmail.com,$549.44,22/12/2021 23:17,"-53.69574517275393, 51.143325094444805"
T-7-631.8144332879291_7.59,Judy Mooney,boydadam@kim.biz,$294.51,15/01/2023 10:52,"75.80123107317897, 29.489010935023458"
T-8-883.984177017271_7.57,Colleen Steele,ronald37@yahoo.com,$744.55,20/02/2022 05:16,"6.0406646740323, 66.15307941146241"
T-9-755.4676240417764_2.84,Mr. Craig Nichols,moorekatherine@pearson-morrison.org,$847.80,25/05/2022 05:26,"72.76915503297224, -92.09142144089509"
T-10-435.2891339720153_1.01,Deborah Meyer,kaylawhite@nicholson.net,$62.11,18/08/2020 22:32,"38.501345358264416, 40.287524684347176"
