transaction_id,name,email,amount,transaction_date,client_location
T-1-392.54488285115576_6.837509851304938,Katelyn Payne,uwatts@hansen.com,$36.40,06/10/2022 22:53,"66.19617516396008, 29.159662587651525"
T-2-25.211372461585867_8.812142563408576,Sarah Wilson,gjenkins@melendez.info,$483.00,11/03/2023 03:30,"-49.89689650487278, -118.07786693083884"
T-3-363.8552940490491_9.747444936496457,Yesenia Graham,jbrown@yahoo.com,$46.13,26/02/2022 05:11,"-38.04034300100125, -60.76072949873995"
T-4-4.722720244373525_6.605144313490228,Erica Mayo,monica27@guzman.com,$633.05,11/10/2020 16:18,"55.05867157258433, -177.2511542821709"
T-5-96.17545373873098_8.832003847325804,Sandra Smith,richardsfrank@yahoo.com,$825.07,27/08/2023 23:29,"-80.14751616527276, -159.37378810558283"
T-6-182.86143770369236_4.637353425694884,Gary Clark,broberts@yahoo.com,$548.33,26/01/2024 14:56,"58.295371996222144, 14.129890552526689"
T-7-16.070554214738287_3.475663135475296,Gilbert Irwin,pauldeborah@johnson.net,$42.15,11/07/2021 15:22,"8.067091876094437, -86.10431413385267"
T-8-88.47249147859779_0.7516046148176387,Christopher Taylor,scarroll@gmail.com,$778.04,13/01/2024 08:32,"-36.55977251327317, 143.16291481101456"
T-9-125.87208867255849_8.808138081656429,Chloe Middleton,jasonjohnson@sullivan.com,$25.79,25/01/2023 05:02,"73.66542569290883, 115.14394797988473"
T-10-612.3879845072629_3.3488167766091133,Kerry Robertson,julia25@wade.com,$876.52,27/03/2024 04:25,"37.0003460785241, 62.415464192835884"
