transaction_id,name,email,amount,transaction_date,client_location
T-1-867.4445121908957_3.9860339980517847,Joseph Cochran,gibbsmark@hotmail.com,$409.42,01/02/2024 01:27,"-9.264749237886605, 129.12122090184204"
T-2-864.369256078013_6.19112032210803,Thomas Palmer,thill@smith-davis.net,$810.99,22/02/2021 23:22,"59.30991071096361, -164.4827118697642"
T-3-488.4998671735613_3.1287204873885863,Brian Dorsey,upineda@hotmail.com,$207.95,21/03/2023 00:21,"36.278011322826316, 112.02668091674514"
T-4-665.1302748160693_5.67106509386582,Haley Castro,kthompson@yahoo.com,$331.15,17/07/2024 10:54,"-79.06700454315563, 114.26374586683744"
T-5-343.25846622091916_5.309596057440136,Autumn Garner,jacqueline40@morris.info,$22.34,29/05/2023 14:18,"82.53579923814374, -54.417035053684344"
T-6-443.55695147072515_7.897944671327972,Matthew Dickerson,slopez@jones.info,$780.47,02/10/2023 07:57,"19.121551547734185, 65.7367305203598"
T-7-42.722849990491966_2.050031117688804,Jennifer Drake,changchris@hotmail.com,$484.41,14/08/2020 09:34,"-38.7293290869392, 59.04118738527944"
T-8-260.8996781031284_8.114118065078348,Natasha Garcia,jamierice@bowen.com,$181.16,15/01/2023 00:39,"26.99163357890113, -26.44976245734307"
T-9-92.89808000113044_7.518685319944238,Danielle Walker,mcgeekayla@hooper-ballard.com,$576.67,06/04/2023 07:24,"15.949551171829128, 139.86185006068877"
T-10-908.6387928131775_6.379934968432182,Peter Powell,stacylang@gardner.biz,$432.04,28/03/2024 11:57,"31.690375426975137, 139.3236755726482"
